Plot #,GPS #,Date Harvested,% Cover,Height 1,Height 2,Height 3,Height 4,Average Height,Wet Weight (g),Dry Weight (g),Site,Type,Tree Species,Bag Size,Average Bag Weight (g),Wet Weight Without Bag (g),Dry Weight Without Bag (g),Water Weight (g),Max Height (cm),Max Height (m)
93,93,19/01/2022,0,0,0,0,0,0,0,0,North,OUT,N/A,,0,0,0,0,0,0
94,94,19/01/2022,30,0,0,5,4,2.25,28.52,23.79,North,OUT,N/A,small,16.0905,12.4295,7.6995,4.73,5,0.05
95,95,19/01/2022,0,0,0,0,0,0,0,0,North,OUT,N/A,,0,0,0,0,0,0
96,96,19/01/2022,0,0,0,0,0,0,0,0,North,OUT,N/A,,0,0,0,0,0,0
97,97,19/01/2022,20,3,3,0,4,2.5,37.31,33.16,North,OUT,N/A,small,16.0905,21.2195,17.0695,4.15,4,0.04
98,98,19/01/2022,35,3,2,0,7,3,24.46,28.03,North,OUT,N/A,small,16.0905,8.3695,11.9395,-3.57,7,0.07
99,99,19/01/2022,60,22,39,15,13,22.25,68.58,64.24,North,OUT,N/A,small,16.0905,52.4895,48.1495,4.34,39,0.39
100,100,19/01/2022,55,0,4,4,4,3,33.96,30.05,North,OUT,N/A,small,16.0905,17.8695,13.9595,3.91,4,0.04
101,101,19/01/2022,45,0,3,3,5,2.75,34.28,30.16,North,OUT,N/A,small,16.0905,18.1895,14.0695,4.12,5,0.05
102,102,19/01/2022,65,4,4,6,0,3.5,37.08,33.92,North,OUT,N/A,small,16.0905,20.9895,17.8295,3.16,6,0.06
103,103,19/01/2022,50,11,14,2,16,10.75,139.42,115.48,North,OUT,N/A,small,16.0905,123.3295,99.3895,23.94,16,0.16
104,104,19/01/2022,15,0,0,0,3,0.75,21.4,20.26,North,IN,LYCIUM,small,16.0905,5.3095,4.1695,1.14,3,0.03
105,105,19/01/2022,100,33,40,33,37,35.75,130.71,115.82,North,OUT,N/A,small,16.0905,114.6195,99.7295,14.89,40,0.4
106,106,19/01/2022,50,21,20,22,2,16.25,61.31,55.94,North,OUT,N/A,small,16.0905,45.2195,39.8495,5.37,22,0.22
107,107,19/01/2022,95,20,30,26,30,26.5,182.06,163.87,North,IN,CROTON,big,32.334,149.726,131.536,18.19,30,0.3
108,108,19/01/2022,100,23,29,25,38,28.75,204.86,193.01,North,OUT,N/A,big,32.334,172.526,160.676,11.85,38,0.38
109,109,19/01/2022,75,15,27,21,4,16.75,157.12,125.06,North,OUT,N/A,big,32.334,124.786,92.726,32.06,27,0.27
110,110,19/01/2022,70,0,2,48,6,14,73.25,66.92,North,OUT,N/A,small,16.0905,57.1595,50.8295,6.33,48,0.48
111,111,19/01/2022,20,0,0,13,7,5,81.16,58.03,North,OUT,N/A,big,32.334,48.826,25.696,23.13,13,0.13
112,112,19/01/2022,100,20,15,13,34,20.5,379.42,292.43,North,IN,AM,big,32.334,347.086,260.096,86.99,34,0.34
113,113,19/01/2022,100,39,15,19,33,26.5,209.57,185.2,North,IN,CROTON,big,32.334,177.236,152.866,24.37,39,0.39
114,114,19/01/2022,25,2,0,4,0,1.5,58.5,48.71,North,OUT,N/A,small,16.0905,42.4095,32.6195,9.79,4,0.04
115,115,19/01/2022,50,4,0,3,4,2.75,48.54,39,North,OUT,N/A,small,16.0905,32.4495,22.9095,9.54,4,0.04
116,116,19/01/2022,75,0,12,21,8,10.25,131.82,112.61,North,OUT,N/A,big,32.334,99.486,80.276,19.21,21,0.21
117,117,19/01/2022,100,39,34,39,44,39,295.41,272.67,North,IN,BALANITES,big,32.334,263.076,240.336,22.74,44,0.44
118,118,19/01/2022,90,25,19,15,33,23,112.97,103.1,North,IN,CROTON,big,32.334,80.636,70.766,9.87,33,0.33
119,119,19/01/2022,100,30,40,46,27,35.75,523.81,457.3,North,OUT,N/A,big,32.334,491.476,424.966,66.51,46,0.46
120,120,19/01/2022,100,28,49,33,27,34.25,402.38,362.15,North,IN,CROTON,big,32.334,370.046,329.816,40.23,49,0.49
121,121,20/01/2022,10,5,0,0,4,2.25,33.05,32.16,Segera Border,OUT,N/A,small,16.0905,16.9595,16.0695,0.89,5,0.05
