,featureid,id,coverherb_0m,coverherb_5cm,cover_0m,cover_5cm,Plot #,Letter,GPS #,Date Harvested,Site,% Cover,Height 1,Height 2,Height 3,Height 4,Dry Weight (g),Location,Tree Species,DPM,0,25,50,75,98,100,mean,std,nlayers,gapsize,maxpeakh,ptoh,cscore,FHD,VDR,VDRpeak,meanpeakh,stdpeakh,cvpeakh,herbh,PAIsum_0m,PAIsum_5cm,PAIsum_0mto1p5m,PAIsum_5cmto1p5m,PAImean_0mto1p5m,PAImean_5cmto1p5m,log(DryWeight)
30,KrugerLowerSabie2022-B18,B18,0.9710843373493976,0.9036144578313252,0.9710843373493976,0.9036144578313252,B18,B,18.0,Sep 26 2022,Lower Sabie west,100,60.0,70.0,60.0,55.0,121.46,No trees,,15.0,0.0501090250909328,0.1155646257102489,0.1549430191516876,0.2052067145705223,0.2994577586650848,0.3929820358753204,0.1611309945583343,0.0616510547697544,1.0,0.0,0.25,0.8076721096504911,0.0483870967741935,0.5748098174835995,0.6278031468391418,0.0,0.25,0.0,0.0,0.7296325465457881,3.826176876066541,3.6864692216647077,3.826176876066541,3.6864692216647077,0.4782721095083176,0.5266384602378154,4.799584990469429
31,KrugerLowerSabie2022-B19,B19,0.9404946433737774,0.5035444967462114,0.9428152492668622,0.5058651026392962,B19,B,19.0,Sep 26 2022,Lower Sabie west,55,10.0,15.0,15.0,25.0,67.85,No trees,,11.0,0.0500870235264301,0.0605662204325199,0.078866921365261,0.1198069304227829,0.2216918045282364,0.5523996949195862,0.0998159870505333,0.059884700924158,1.0,0.0,0.05,0.20323093840566,0.064516129032258,0.7430321042647136,0.9085222482681274,0.0,0.05,0.0,0.0,0.4635841738072604,2.5439114952672166,1.3951372847557464,2.5439114952672166,1.3951372847557464,0.3179889369084021,0.19930532639367807,4.217299386280878
32,KrugerLowerSabie2022-A18,A18,0.8686761936852195,0.013774232900905813,0.8745098039215686,0.0196078431372549,A18,A,18.0,Sep 26 2022,Lower Sabie west,0,0.0,0.0,0.0,0.0,0.09,Bareground,,0.0,0.0507571808993816,0.0517476648092269,0.0562053583562374,0.1090260669589042,0.1492231184244155,0.1527185142040252,0.0840909630060195,0.0406603924930095,1.0,0.0,0.05,0.8039657335929643,0.032258064516129,0.0965089607359473,0.8074570894241333,0.0,0.05,0.0,0.0,0.1904971755892393,3.9002965196207624,0.03960525459235951,3.9002965196207624,0.03960525459235951,0.4875370649525953,0.005657893513194215,-2.407945608651872
33,KrugerLowerSabie2022-A17,A17,0.9415908939100598,0.5532413793469529,0.941747572815534,0.5533980582524272,A17,A,17.0,Sep 26 2022,Lower Sabie west,75,15.0,30.0,10.0,45.0,58.12,No trees,,9.0,0.0503432117402553,0.0688185878098011,0.0853267051279544,0.1159131973981857,0.1929739028215407,0.3157812356948852,0.0968619063496589,0.0405972264707088,1.0,0.0,0.25,1.2598869138653883,0.0483870967741935,0.7152578551827549,0.8217648267745972,0.0,0.25,0.0,0.0,0.4919310363680752,2.583474254251202,1.600285730574996,2.583474254251202,1.600285730574996,0.32293428178140027,0.22861224722499943,4.0625098387020815
34,KrugerLowerSabie2022-A19,A19,0.9926954909426617,0.985578053220242,0.99288256227758,0.9857651245551602,A19,A,19.0,Sep 26 2022,Lower Sabie west,100,60.0,55.0,65.0,45.0,153.59,No trees,,20.0,0.0502223186194896,0.1716737002134323,0.2324094995856285,0.2949999868869781,0.4752999877929686,0.7826176285743713,0.2412798702716827,0.1003031656146049,1.0,0.0,0.25,0.488586191837783,0.0806451612903225,0.7998108657423578,0.7061144709587097,0.0,0.25,0.0,0.0,0.9737164774439808,2.7814645784337153,2.7671788034089557,2.7814645784337153,2.7671788034089553,0.3476830723042144,0.39531125762985075,5.034286714427537
35,KrugerLowerSabie2022-A20,A20,0.8506893522272891,0.08077784780251024,0.8628318584070797,0.0929203539823008,A20,A,20.0,Sep 26 2022,Lower Sabie west,40,6.0,5.0,0.0,5.0,54.45,No trees,,4.5,0.0501650236546993,0.0524913631379604,0.0557509809732437,0.057308129966259,0.1174115255475044,0.1218502894043922,0.0606484748423099,0.0184217803180217,1.0,0.0,0.05,0.6176754367250139,0.032258064516129,0.3092428890264206,0.7619964480400085,0.0,0.05,0.0,0.0,0.2238647009844508,3.133632601649473,0.19505004026775524,3.133632601649473,0.19505004026775524,0.3917040752061841,0.027864291466822178,3.9972828493789696
36,KrugerLowerSabie2022-B20,B20,0.9309067301626186,0.6420178412737299,0.9333333333333332,0.6444444444444445,B20,B,20.0,Sep 26 2022,Lower Sabie west,70,25.0,15.0,25.0,40.0,46.55,No trees,,8.0,0.0500972792506217,0.0673794038593769,0.0852186679840087,0.115515261888504,0.2034436565637588,0.5109626650810242,0.0981627628207206,0.0486619658768177,1.0,0.0,0.25,1.1030102464210445,0.0483870967741935,0.6708521675237475,0.8740409016609192,0.0,0.25,0.0,0.0,0.558905000306214,2.7385821200025315,2.0567289460613454,2.7385821200025315,2.0567289460613454,0.34232276500031644,0.2938184208659065,3.840527003723076
37,KrugerLowerSabie2022-B22,B22,0.6579870856265442,0.44038317364610396,0.9180929095354524,0.7004889975550123,B22,B,22.0,Sep 26 2022,Lower Sabie west,80,50.0,15.0,40.0,25.0,83.56,Beneath A. nigrescens,,11.0,0.0504265464842319,0.096000000834465,0.1823721081018448,1.0621203184127808,1.2134213733673094,1.2527775764465332,0.4975600838661194,0.4707095921039581,2.0,1.0,1.25,1.024317104834974,0.1290322580645161,1.3393327639284125,0.9092653393745422,0.4,0.75,0.5,1.5,0.5962144555116582,2.1952077956189986,1.7044194751209396,2.1952077956189986,1.7044194751209394,0.2744009744523748,0.2434884964458485,4.425564936688366
38,KrugerLowerSabie2022-B23,B23,0.9317073170731708,0.7658536585365854,0.9317073170731708,0.7658536585365854,B23,B,23.0,Sep 26 2022,Lower Sabie west,60,40.0,35.0,10.0,10.0,80.99,No trees,,10.5,0.0511987060308456,0.081703208386898,0.1220000013709068,0.1786163598299026,0.2786293673515319,0.3059999942779541,0.1327227503061294,0.0611742176115512,1.0,0.0,0.25,0.8243305280183766,0.0483870967741935,0.6838182050827774,0.7054280042648315,0.0,0.25,0.0,0.0,0.6474227499422262,3.0635323299711175,2.7008394846996207,3.0635323299711175,2.7008394846996207,0.3829415412463897,0.3858342120999458,4.3943256902608985
39,KrugerLowerSabie2022-A22,A22,0.8321927257703621,0.044627958930983765,0.8471502590673575,0.0595854922279792,A22,A,22.0,Sep 26 2022,Lower Sabie west,50,5.0,7.0,14.0,17.0,47.08,No trees,,7.0,0.05176343023777,0.0547332735732197,0.058966165408492,0.0697067771106958,0.4932069456577297,0.612130343914032,0.1062941774725914,0.1526553332805633,1.0,0.0,0.05,0.7004723921318972,0.0483870967741935,,0.9574164748191832,0.0,0.05,0.0,0.0,0.2066035649759977,3.2207913184114303,0.12255507401027366,3.2207913184114303,0.12255507401027366,0.4025989148014288,0.01750786771575338,3.851848282392076
